Loaded 20 instructions from tests/directed/branches.hex
COMMIT PC=00000000 INSTR=00a00093 RD=1 VALUE=0000000a
COMMIT PC=00000004 INSTR=01400113 RD=2 VALUE=00000014
COMMIT PC=00000008 INSTR=00209463 RD=- VALUE=-
COMMIT PC=00000010 INSTR=00300193 RD=3 VALUE=00000003
COMMIT PC=00000014 INSTR=fff00213 RD=4 VALUE=ffffffff
COMMIT PC=00000018 INSTR=00100293 RD=5 VALUE=00000001
COMMIT PC=0000001c INSTR=00524463 RD=- VALUE=-
COMMIT PC=00000024 INSTR=00600313 RD=6 VALUE=00000006
COMMIT PC=00000028 INSTR=0042d463 RD=- VALUE=-
COMMIT PC=00000030 INSTR=00700393 RD=7 VALUE=00000007
COMMIT PC=00000034 INSTR=00526463 RD=- VALUE=-
COMMIT PC=00000038 INSTR=00800413 RD=8 VALUE=00000008
COMMIT PC=0000003c INSTR=0042f463 RD=- VALUE=-
COMMIT PC=00000040 INSTR=06300493 RD=9 VALUE=00000063
COMMIT PC=00000044 INSTR=00900493 RD=9 VALUE=00000009
COMMIT PC=00000048 INSTR=00000013 RD=- VALUE=-
COMMIT PC=0000004c INSTR=00000013 RD=- VALUE=-
