Loaded 42 instructions from tests/directed/full_regression.hex
COMMIT PC=00000000 INSTR=00a00093 RD=1 VALUE=0000000a
COMMIT PC=00000004 INSTR=01400113 RD=2 VALUE=00000014
COMMIT PC=00000008 INSTR=002081b3 RD=3 VALUE=0000001e
COMMIT PC=0000000c INSTR=40118233 RD=4 VALUE=00000014
COMMIT PC=00000010 INSTR=00402023 RD=- VALUE=-
COMMIT PC=00000014 INSTR=00002283 RD=5 VALUE=00000014
COMMIT PC=00000018 INSTR=00528333 RD=6 VALUE=00000028
COMMIT PC=0000001c INSTR=00108663 RD=- VALUE=-
COMMIT PC=00000028 INSTR=00700393 RD=7 VALUE=00000007
COMMIT PC=0000002c INSTR=00208663 RD=- VALUE=-
COMMIT PC=00000030 INSTR=00900493 RD=9 VALUE=00000009
COMMIT PC=00000034 INSTR=00a00513 RD=10 VALUE=0000000a
COMMIT PC=00000038 INSTR=00209463 RD=- VALUE=-
COMMIT PC=00000040 INSTR=00b00593 RD=11 VALUE=0000000b
COMMIT PC=00000044 INSTR=fff00613 RD=12 VALUE=ffffffff
COMMIT PC=00000048 INSTR=00100693 RD=13 VALUE=00000001
COMMIT PC=0000004c INSTR=00d64463 RD=- VALUE=-
COMMIT PC=00000054 INSTR=00e00713 RD=14 VALUE=0000000e
COMMIT PC=00000058 INSTR=00c6d463 RD=- VALUE=-
COMMIT PC=00000060 INSTR=00f00793 RD=15 VALUE=0000000f
COMMIT PC=00000064 INSTR=00d66463 RD=- VALUE=-
COMMIT PC=00000068 INSTR=01000813 RD=16 VALUE=00000010
COMMIT PC=0000006c INSTR=00d67463 RD=- VALUE=-
COMMIT PC=00000074 INSTR=01100893 RD=17 VALUE=00000011
COMMIT PC=00000078 INSTR=00c00a6f RD=20 VALUE=0000007c
COMMIT PC=00000084 INSTR=01200913 RD=18 VALUE=00000012
COMMIT PC=00000088 INSTR=00000997 RD=19 VALUE=00000088
COMMIT PC=0000008c INSTR=01498993 RD=19 VALUE=0000009c
COMMIT PC=00000090 INSTR=00098ae7 RD=21 VALUE=00000094
COMMIT PC=0000009c INSTR=01600b13 RD=22 VALUE=00000016
COMMIT PC=000000a0 INSTR=00000013 RD=- VALUE=-
COMMIT PC=000000a4 INSTR=00000013 RD=- VALUE=-
